,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
3571,CHEMBL3934414,254.0,nM,COc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)C[C@@H](C(F)(F)F)OC(N)=N3)n2)c(Cl)c1,6.5951662833800615,461.08777993200005,7,2,3.411100000000001,True
3572,CHEMBL3967607,254.0,nM,Cc1cccnc1Nc1ccc2c(c1)[C@@]1(CCOC(N)=N1)c1cc(Cl)nc(F)c1O2,6.5951662833800615,425.10548068400004,7,2,4.405420000000003,True
3573,CHEMBL438355,255.0,nM,N#CCCCN/C(N)=N\C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2,6.5934598195660445,443.268510676,3,2,4.357580000000003,True
3574,CHEMBL404897,255.0,nM,N/C(=N/C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2)NCCCCO,6.5934598195660445,448.283826392,3,3,3.826300000000003,True
3575,CHEMBL3935629,255.1,nM,Cc1ccc2c(c1)C1(N=C(N)N(C)O1)C1(CCc3ccccc3CC1)C2,6.5932895413902095,347.19976242,4,1,3.461020000000002,True
3576,CHEMBL2408785,258.0,nM,CC#Cc1cncc(-c2ccc3c(c2)C2(C=C(F)C(N)=N2)[C@]2(CC[C@@H](OC)CC2)C3)c1,6.58838029403677,415.205990672,4,1,4.671000000000004,True
3577,CHEMBL3922902,259.0,nM,COc1ccc(C(=O)Nc2csc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)n2)nc1,6.586700235918748,419.10858153200013,9,2,2.4808000000000003,True
3578,CHEMBL500251,260.0,nM,CC(C)[C@H](NC(=O)C[C@H](O)[C@H](COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)Nc1ccc(C(=O)O)cc1,6.585026652029182,837.2855200800001,9,6,4.2577000000000025,False
3579,CHEMBL237284,260.0,nM,CCCNC(=O)c1ccc(-c2scc(-c3ccccc3Cl)c2CC(=O)/N=C(/N)NCCCO)cc1,6.585026652029182,512.1648894680001,4,4,4.231100000000003,True
3580,CHEMBL2047040,260.0,nM,CC(C)c1cccc(CNC[C@@H](O)[C@@H]2COC/C=C/C[C@@H](c3ccccc3)NC(=O)c3cc(cc(N(C)S(C)(=O)=O)c3)C(=O)N2)c1,6.585026652029182,648.2981561280001,7,4,3.9025000000000016,True
