,molecule_chembl_id,IC50,units,smiles,pIC50,ro5_fulfilled
3761,CHEMBL402374,338.0,nM,O=C(N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1C[C@@H](OCc2ccccc2)CN1)[C@H]1CC(=O)N(Cc2cccc(F)c2)C1,6.471083299722345,True
3763,CHEMBL3688747,339.0,nM,NC1=N[C@@](c2nc(NC(=O)c3ccc(Cl)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,6.4698003017969175,True
3764,CHEMBL3902253,339.7,nM,COC1CCC2(CC1)Cc1ccc(-c3cc(F)cc(Cl)c3)cc1C21CN(CC(F)(F)F)C(N)=N1,6.468904453129972,True
3765,CHEMBL3639523,340.0,nM,NC1=N[C@@](c2cc(NC(=O)c3cnc(O)cn3)ccc2F)(C(F)F)COC1,6.468521082957745,True
3769,CHEMBL3653493,340.0,nM,CC(C)Oc1cnc(C(=O)Nc2ccc(F)c([C@]3(C(F)F)COCC(N)=N3)c2)cn1,6.468521082957745,True
3770,CHEMBL1209221,340.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(N3C(=O)C4CCC3C4)c2)CCCCC1,6.468521082957745,True
3771,CHEMBL1257417,341.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(CC(C)(C)C)c2)CC1,6.467245621007502,True
3772,CHEMBL3650180,341.0,nM,Cc1nc([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)no1,6.467245621007502,True
3773,CHEMBL3985734,341.0,nM,CCc1nc(C(=O)Nc2csc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)n2)co1,6.467245621007502,True
3774,CHEMBL3673199,342.0,nM,N#Cc1ccc(F)c(C23CO[C@@H](C4CC4)C[C@H]2CSC(N)=N3)c1,6.465973893943865,True
3775,CHEMBL3906599,342.7,nM,COC1CCC2(CC1)Cc1ccccc1C21N=C(N)N(C(C)C)C1=O,6.465085895570133,True
3776,CHEMBL3650184,343.0,nM,COc1cnc([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)nc1,6.464705879957229,True
3777,CHEMBL2349495,344.0,nM,CSc1cccc(-c2ccc3c(c2)C2(CC(C)(C)O3)N=C(N)N(C)C2=O)c1,6.46344155742847,True
3779,CHEMBL510737,345.0,nM,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2CN(c3ccccc3)CCN2)c1,6.462180904926726,True
3780,CHEMBL1258002,346.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cnn(CC(C)(C)C)c2)CC1,6.460923901207224,True
3781,CHEMBL3928164,346.0,nM,NC1=N[C@@]2(c3ccc(F)cc3F)CO[C@@H](C3CC3)C[C@H]2[C@@H](CF)S1,6.460923901207224,True
3782,CHEMBL3896382,348.0,nM,C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2nc(NC(=O)C3(C#N)CC3)cs2)CO1,6.458420756053419,True
3783,CHEMBL251970,348.0,nM,CC(=O)c1ccccc1-c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@H](C)c2ccccc2)cc(C(=O)N[C@H](C)c2ccccc2)c1,6.458420756053419,False
3785,CHEMBL3650825,349.0,nM,Cc1cc(Cl)cnc1C(=O)Nc1ccc2c(c1)C1(COC(N)=N1)C1(CC1)CO2,6.45717457304082,True
