,molecule_chembl_id,IC50,units,smiles,pIC50,graph
4229,CHEMBL1645507,680.0,nM,CC(C)[C@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NCC(O)(Cc1ccccc1)C(=O)Nc1cccc(C(=O)O)c1,6.167491087293763,"Data(x=[54, 9], edge_index=[2, 114], edge_attr=[114, 3], smiles='CC(C)[C@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NCC(O)(Cc1ccccc1)C(=O)Nc1cccc(C(=O)O)c1')"
4230,CHEMBL4792691,683.0,nM,FC(F)(F)c1ccc(/C=N\C2CCN(Cc3ccccc3)C2)cc1,6.165579296318468,"Data(x=[24, 9], edge_index=[2, 52], edge_attr=[52, 3], smiles='FC(F)(F)c1ccc(/C=N\C2CCN(Cc3ccccc3)C2)cc1')"
4231,CHEMBL1097058,685.0,nM,CC(C)[C@@H]1CCC(=O)N(C2CCOCC2)CCc2cccc(c2)Oc2ccc3c(c2)CN1C(N)=N3,6.164309428507575,"Data(x=[35, 9], edge_index=[2, 78], edge_attr=[78, 3], smiles='CC(C)[C@@H]1CCC(=O)N(C2CCOCC2)CCc2cccc(c2)Oc2ccc3c(c2)CN1C(N)=N3')"
4232,CHEMBL3650784,688.0,nM,CC1(C)Oc2ccc(-c3cc(Cl)cnc3Cl)cc2C2(COC(N)=N2)C12COC2,6.162411561764489,"Data(x=[28, 9], edge_index=[2, 64], edge_attr=[64, 3], smiles='CC1(C)Oc2ccc(-c3cc(Cl)cnc3Cl)cc2C2(COC(N)=N2)C12COC2')"
4233,CHEMBL3654233,688.0,nM,Cc1cnc([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)nc1,6.162411561764489,"Data(x=[26, 9], edge_index=[2, 58], edge_attr=[58, 3], smiles='Cc1cnc([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)nc1')"
4234,CHEMBL3813928,690.0,nM,CC[C@H](C)[C@H](NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](NC(=O)[C@H](C)O)[C@@H](C)CC)C(=O)NCC(=O)N(C)[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)OC,6.161150909262744,"Data(x=[70, 9], edge_index=[2, 144], edge_attr=[144, 3], smiles='CC[C@H](C)[C@H](NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](NC(=O)[C@H](C)O)[C@@H](C)CC)C(=O)NCC(=O)N(C)[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)OC')"
4235,CHEMBL2180033,690.0,nM,CC1=NC(c2cccc(-c3cncc(Cl)c3)c2)(C2CC2)N=C1N,6.161150909262744,"Data(x=[23, 9], edge_index=[2, 52], edge_attr=[52, 3], smiles='CC1=NC(c2cccc(-c3cncc(Cl)c3)c2)(C2CC2)N=C1N')"
4236,CHEMBL1271091,690.0,nM,O=C(CSc1nc2ccc(Nc3nc(N4CCCC4)nc(N4CCCC4)n3)cc2s1)NCc1ccco1,6.161150909262744,"Data(x=[37, 9], edge_index=[2, 84], edge_attr=[84, 3], smiles='O=C(CSc1nc2ccc(Nc3nc(N4CCCC4)nc(N4CCCC4)n3)cc2s1)NCc1ccco1')"
4237,CHEMBL220826,690.0,nM,Nc1ncccc1NCc1cc(-c2ccc3cc[nH]c3c2)ccc1OCc1ccccc1,6.161150909262744,"Data(x=[32, 9], edge_index=[2, 72], edge_attr=[72, 3], smiles='Nc1ncccc1NCc1cc(-c2ccc3cc[nH]c3c2)ccc1OCc1ccccc1')"
4238,CHEMBL1209893,690.0,nM,CCc1cccc(C2(NC[C@@H](O)[C@H](Cc3cc(F)cc(F)c3)NC(C)=O)CCCCC2)c1,6.161150909262744,"Data(x=[32, 9], edge_index=[2, 68], edge_attr=[68, 3], smiles='CCc1cccc(C2(NC[C@@H](O)[C@H](Cc3cc(F)cc(F)c3)NC(C)=O)CCCCC2)c1')"
4239,CHEMBL2408759,690.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CC(C)(C)Oc2ccc(OC(C)(C)C)cc21,6.161150909262744,"Data(x=[35, 9], edge_index=[2, 74], edge_attr=[74, 3], smiles='CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CC(C)(C)Oc2ccc(OC(C)(C)C)cc21')"
4240,CHEMBL3939118,691.0,nM,COC1CCC2(CC1)Cc1ccc(OC3CCCC3)cc1C21NC(N)N(C)C1=O,6.1605219526258015,"Data(x=[29, 9], edge_index=[2, 66], edge_attr=[66, 3], smiles='COC1CCC2(CC1)Cc1ccc(OC3CCCC3)cc1C21NC(N)N(C)C1=O')"
4241,CHEMBL3961810,693.3,nM,CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21CCS(=O)(=O)CC1,6.159078799801229,"Data(x=[30, 9], edge_index=[2, 68], edge_attr=[68, 3], smiles='CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21CCS(=O)(=O)CC1')"
4242,CHEMBL3896307,693.5,nM,COC1CCC2(CC1)Cc1ccc(C#CC3CC3)cc1[C@@]21N=C(N)N(C)C1=O,6.1589535345906965,"Data(x=[28, 9], edge_index=[2, 64], edge_attr=[64, 3], smiles='COC1CCC2(CC1)Cc1ccc(C#CC3CC3)cc1[C@@]21N=C(N)N(C)C1=O')"
4243,CHEMBL3740508,694.0,nM,COc1cnc(-c2cc(-c3ccc(F)c([C@]4(C)C[S@]5(=O)=NCCCCN5C(N)=N4)c3)on2)cn1,6.158640529545146,"Data(x=[34, 9], edge_index=[2, 76], edge_attr=[76, 3], smiles='COc1cnc(-c2cc(-c3ccc(F)c([C@]4(C)C[S@]5(=O)=NCCCCN5C(N)=N4)c3)on2)cn1')"
4244,CHEMBL3650758,696.0,nM,COc1cccc(-c2ccc3c(c2)C2(COC(N)=N2)C2(COC2)C2(CCC2)O3)c1,6.157390760389438,"Data(x=[29, 9], edge_index=[2, 68], edge_attr=[68, 3], smiles='COc1cccc(-c2ccc3c(c2)C2(COC(N)=N2)C2(COC2)C2(CCC2)O3)c1')"
4245,CHEMBL168938,697.0,nM,COc1cc2c(cc1OC)C(=O)/C(=C/C1CCN(Cc3ccccc3)CC1)C2,6.15676722190199,"Data(x=[28, 9], edge_index=[2, 62], edge_attr=[62, 3], smiles='COc1cc2c(cc1OC)C(=O)/C(=C/C1CCN(Cc3ccccc3)CC1)C2')"
4246,CHEMBL3670326,697.0,nM,Cc1ncnn1-c1cnc(C(=O)Nc2ccc(F)c([C@]3(C)C=CSC(N)=N3)c2)cn1,6.15676722190199,"Data(x=[30, 9], edge_index=[2, 66], edge_attr=[66, 3], smiles='Cc1ncnn1-c1cnc(C(=O)Nc2ccc(F)c([C@]3(C)C=CSC(N)=N3)c2)cn1')"
